"file","Ftrgt","Btrigger","HCR","TACconstr","BB","OM","Blim","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","catch_median_long","catch_median_short","catch_median_medium","conv_failed","F_maxed","ssb_median_long","ssb_median_short","ssb_median_medium","recovery_proportion","recovery_time","iavTAC_long","iavTAC_short","iavTAC_medium","fbar_median_long","fbar_median_short","fbar_median_medium","slope_long","slope_medium","slope_short"
"Baseline_HCR-B_Ftrgt-0.194_Btrigger-132000_TACconstr-TRUE_BB-TRUE.rds",0.194,132000,"B",TRUE,TRUE,"Baseline",94000,52787.27246,38605.03166,48854.69452,0.0323,0.0149,0.0742,0.0252,0.019,0.123,0.034,0.375300645,0.397140564,0.366090203,44516.35,35914.05,41566.85,0,0,251610.1854,163114.2614,219380.0945,1,1,0.209643234,0.295727233,0.226940884,0.201361586,0.195101179,0.197283994,0.1022,0.1438,0.261
"Baseline_HCR-B_Ftrgt-0.194_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds",0.194,170000,"B",TRUE,TRUE,"Baseline",94000,52560.57194,37409.7317,48665.36548,0.0277,0.0111,0.0694,0.0192,0.015,0.114,0.031,0.373648201232174,0.399569597101997,0.369662655646782,44579.95,34289.65,41670.05,0,0,255015.218771787,165605.876355084,223754.025022027,1,1,0.218840392766393,0.350455671696293,0.242022047688474,0.196362809843875,0.18146510398771,0.190710913156365,0.234,0.2972,0.6614
"Baseline_HCR-B_Ftrgt-0.194_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.194,190000,"B",FALSE,FALSE,"Baseline",94000,52302.2067,34678.1396,50406.1968,0.0185,0.0081,0.043,0.0148,0.011,0.066,0.023,0.225579099706776,0.398006166575668,0.244265505031154,45532.5,27497.5,43894,0,0,258612.607117351,173022.593169459,231962.293444324,1,1,0.223705733942757,0.287133117525552,0.242743009603211,0.194669259172888,0.165239957626932,0.195516727424528,0.3069,0.3686,0.7362
"Baseline_HCR-B_Ftrgt-0.243_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds",0.243,170000,"B",TRUE,TRUE,"Baseline",94000,57584.09695,42633.93464,53946.97956,0.0422,0.0271,0.0782,0.0364,0.03,0.13,0.051,0.384613329159779,0.361810342114373,0.384601167034596,48381.65,40439.4,45466.2,0,0,216623.908511374,159718.332947318,198538.251411327,1,1,0.252506452944778,0.309429541664327,0.2752877361325,0.236123685814535,0.217099351049171,0.227871498492754,0.3603,0.4,0.6854
"Baseline_HCR-B_Ftrgt-0.25_Btrigger-140000_TACconstr-TRUE_BB-TRUE.rds",0.25,140000,"B",TRUE,TRUE,"Baseline",94000,58521.42191,44550.38344,54818.17746,0.05665,0.0422,0.0882,0.054,0.05,0.143,0.068,0.38961143,0.346923069,0.389755739,49149.95,43109.15,46372.75,0,0,207484.4712,156842.1055,189880.3273,0.999,1,0.244773719,0.267979676,0.265998145,0.25010506,0.237280293,0.243656769,0.2475,0.2778,0.3426
"Baseline_HCR-B_Ftrgt-0.25_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",0.25,160000,"B",FALSE,FALSE,"Baseline",94000,58260.839,42622.0172,56629.445,0.04735,0.0337,0.0778,0.0442,0.036,0.144,0.051,0.251955988,0.221545213,0.271892674,50260.5,38292,49083.5,0,0,211207.5062,158439.1786,194621.7636,1,1,0.251069198,0.281947737,0.270387007,0.24776545,0.227605058,0.250353626,0.3364,0.3784,0.4596
"Baseline_HCR-B_Ftrgt-0.25_Btrigger-160000_TACconstr-TRUE_BB-TRUE.rds",0.25,160000,"B",TRUE,TRUE,"Baseline",94000,58303.03961,43765.08372,54677.34276,0.0491,0.0344,0.0824,0.0452,0.041,0.133,0.06,0.387629376,0.348269723,0.387471658,49032.6,42043.65,46178.45,0,0,210531.0012,158060.1393,192812.2785,1,1,0.254125013,0.295045206,0.274266282,0.244990516,0.228596308,0.236665299,0.336,0.3718,0.461
"Baseline_HCR-B_Ftrgt-0.25_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.25,170000,"B",FALSE,FALSE,"Baseline",94000,58128.2388,42133.6388,56505.0416,0.04415,0.0303,0.0754,0.0406,0.034,0.14,0.046,0.255217227,0.2312921,0.27317242,50133.5,37892,49072,0,0,212888.1292,159244.3564,196710.0643,1,1,0.25420262,0.292608171,0.271924568,0.244913144,0.223121539,0.246922124,0.3784,0.4224,0.6888
"Baseline_HCR-B_Ftrgt-0.25_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.25,180000,"B",FALSE,FALSE,"Baseline",94000,57960.4145,41549.6406,56407.8034,0.0391,0.0266,0.0686,0.0346,0.031,0.123,0.044,0.25905245,0.263359869,0.277590325,50040.5,36119,49007.5,0,0,214665.5638,161638.9156,199379.9028,1,1,0.25781084,0.29874815,0.276324928,0.241793442,0.214740868,0.243069535,0.4167,0.4604,0.7444
"Baseline_HCR-B_Ftrgt-0.25_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.25,190000,"B",FALSE,FALSE,"Baseline",94000,57787.7722,40950.7826,56278.6316,0.0363,0.0244,0.0646,0.0318,0.028,0.113,0.04,0.262443673,0.29526434,0.280134127,49810.5,34454,48701.5,0,0,216464.1975,163745.0688,201514.5429,1,1,0.261134135,0.302862215,0.278179637,0.23874327,0.206925078,0.24015387,0.4527,0.4968,0.7768
"Baseline_HCR-B_Ftrgt-0.261_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.261,190000,"B",FALSE,FALSE,"Baseline",94000,58606.5124,42045.928,57161.3318,0.04025,0.0283,0.068,0.0364,0.031,0.121,0.046,0.272603135414013,0.270728720146969,0.289173750820304,50428,35776.5,49556.5,0,0,209826.756646557,161510.902908638,196366.155727012,1,1,0.270998396414228,0.305818332858452,0.287687918709469,0.2468293227,0.214889677626094,0.247912953974955,0.4764,0.5194,0.7806
